route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
PTR-GDN-3873,477,2987629,1,Northgate Shop Centre,83555
PTR-GDN-3873,477,2987630,1,Northgate Shop Centre,83555
PTR-GDN-3873,477,2987631,1,Northgate Shop Centre,83555
PTR-GDN-3873,475,2987632,1,Northgate Shop Centre,83555
PTR-GDN-3873,475,2987633,1,Northgate Shop Centre,83555
PTR-GDN-3896,493,2987634,1,Drummond Cove,83556
PTR-GDN-3896,493,2987635,1,Drummond Cove,83556
PTR-GDN-3896,493,2987636,1,Drummond Cove,83556
PTR-GDN-3896,493,2987637,1,Drummond Cove,83556
PTR-GDN-3896,474,2987642,1,Drummond Cove,83556
PTR-GDN-3896,477,2987643,1,Drummond Cove,83556
PTR-GDN-3896,477,2987644,1,Drummond Cove,83556
PTR-GDN-3896,477,2987645,1,Drummond Cove,83556
PTR-GDN-3896,477,2987646,1,Drummond Cove,83556
PTR-GDN-3896,493,2987651,0,Anzac Tce,83557
PTR-GDN-3896,493,2987652,0,Anzac Tce,83557
PTR-GDN-3896,493,2987653,0,Anzac Tce,83557
PTR-GDN-3896,493,2987654,0,Anzac Tce,83557
PTR-GDN-3896,477,2987659,0,Anzac Tce,83557
PTR-GDN-3896,477,2987660,0,Anzac Tce,83557
PTR-GDN-3896,474,2987661,0,Anzac Tce,83557
PTR-GDN-3896,477,2987662,0,Anzac Tce,83557
PTR-GDN-3896,477,2987663,0,Anzac Tce,83557
PTR-GDN-3897,493,2987668,1,Waggrakine,83558
PTR-GDN-3897,493,2987669,1,Waggrakine,83558
PTR-GDN-3897,493,2987670,1,Waggrakine,83558
PTR-GDN-3897,493,2987671,1,Waggrakine,83558
PTR-GDN-3897,493,2987672,1,Waggrakine,83558
PTR-GDN-3897,493,2987673,1,Waggrakine,83558
PTR-GDN-3897,493,2987674,1,Waggrakine,83558
PTR-GDN-3897,493,2987675,1,Waggrakine,83558
PTR-GDN-3897,474,2987680,1,Waggrakine,83558
PTR-GDN-3897,477,2987681,1,Waggrakine,83558
PTR-GDN-3897,477,2987682,1,Waggrakine,83558
PTR-GDN-3897,475,2987683,1,Waggrakine,83558
PTR-GDN-3897,477,2987684,1,Waggrakine,83558
PTR-GDN-3897,477,2987685,1,Waggrakine,83558
PTR-GDN-3897,493,2987694,0,Anzac Tce,83559
PTR-GDN-3897,493,2987695,0,Anzac Tce,83559
PTR-GDN-3897,493,2987696,0,Anzac Tce,83559
PTR-GDN-3897,493,2987697,0,Anzac Tce,83559
PTR-GDN-3897,493,2987698,0,Anzac Tce,83559
PTR-GDN-3897,493,2987699,0,Anzac Tce,83559
PTR-GDN-3897,493,2987700,0,Anzac Tce,83559
PTR-GDN-3897,493,2987701,0,Anzac Tce,83559
PTR-GDN-3897,475,2987706,0,Anzac Tce,83559
PTR-GDN-3897,477,2987707,0,Anzac Tce,83559
PTR-GDN-3897,477,2987708,0,Anzac Tce,83559
PTR-GDN-3897,477,2987709,0,Anzac Tce,83559
PTR-GDN-3897,477,2987710,0,Anzac Tce,83559
PTR-GDN-3897,474,2987711,0,Anzac Tce,83559
PTR-GDN-3898,493,2987716,1,Spalding,83560
PTR-GDN-3898,493,2987717,1,Spalding,83560
PTR-GDN-3898,493,2987718,1,Spalding,83560
PTR-GDN-3898,493,2987719,1,Spalding,83560
PTR-GDN-3898,493,2987720,1,Spalding,83560
PTR-GDN-3898,493,2987721,1,Spalding,83560
PTR-GDN-3898,493,2987722,1,Spalding,83560
PTR-GDN-3898,493,2987723,1,Spalding,83560
PTR-GDN-3898,474,2987724,1,Spalding,83560
PTR-GDN-3898,477,2987725,1,Spalding,83560
PTR-GDN-3898,477,2987726,1,Spalding,83560
PTR-GDN-3898,477,2987727,1,Spalding,83560
PTR-GDN-3898,475,2987728,1,Spalding,83560
PTR-GDN-3898,477,2987729,1,Spalding,83560
PTR-GDN-3898,493,2987734,0,Anzac Tce,83561
PTR-GDN-3898,493,2987735,0,Anzac Tce,83561
PTR-GDN-3898,493,2987736,0,Anzac Tce,83561
PTR-GDN-3898,493,2987737,0,Anzac Tce,83561
PTR-GDN-3898,493,2987738,0,Anzac Tce,83561
PTR-GDN-3898,493,2987739,0,Anzac Tce,83561
PTR-GDN-3898,493,2987740,0,Anzac Tce,83561
PTR-GDN-3898,493,2987741,0,Anzac Tce,83561
PTR-GDN-3898,477,2987746,0,Anzac Tce,83561
PTR-GDN-3898,477,2987747,0,Anzac Tce,83561
PTR-GDN-3898,477,2987748,0,Anzac Tce,83561
PTR-GDN-3898,477,2987749,0,Anzac Tce,83561
PTR-GDN-3899,493,2987754,1,Anzac Tce,83562
PTR-GDN-3899,493,2987755,1,Anzac Tce,83562
PTR-GDN-3899,493,2987756,1,Anzac Tce,83562
PTR-GDN-3899,493,2987757,1,Anzac Tce,83562
PTR-GDN-3899,493,2987758,1,Anzac Tce,83562
PTR-GDN-3899,493,2987759,1,Anzac Tce,83562
PTR-GDN-3899,474,2987760,1,Anzac Tce,83562
PTR-GDN-3899,477,2987761,1,Anzac Tce,83562
PTR-GDN-3899,475,2987762,1,Anzac Tce,83562
PTR-GDN-3899,477,2987763,1,Anzac Tce,83562
PTR-GDN-3899,493,2987770,1,Anzac Tce,83563
PTR-GDN-3899,493,2987771,1,Anzac Tce,83563
PTR-GDN-3899,493,2987772,1,Anzac Tce,83563
PTR-GDN-3899,477,2987775,1,Anzac Tce,83563
PTR-GDN-3899,477,2987776,1,Anzac Tce,83563
PTR-GDN-3901,493,2987781,1,Northgate Shop Centre,83564
PTR-GDN-3901,493,2987782,1,Northgate Shop Centre,83564
PTR-GDN-3901,477,2987787,1,Northgate Shop Centre,83564
PTR-GDN-3901,477,2987788,1,Northgate Shop Centre,83564
PTR-GDN-3901,477,2987789,1,Northgate Shop Centre,83564
PTR-GDN-3901,477,2987790,1,Northgate Shop Centre,83564
PTR-GDN-3902,493,2987795,1,Northgate Shop Centre,83565
PTR-GDN-3902,493,2987796,1,Northgate Shop Centre,83565
PTR-GDN-3902,493,2987797,1,Northgate Shop Centre,83565
PTR-GDN-3902,493,2987798,1,Northgate Shop Centre,83565
PTR-GDN-3902,493,2987799,1,Northgate Shop Centre,83565
PTR-GDN-3902,477,2987800,1,Northgate Shop Centre,83565
PTR-GDN-3902,477,2987801,1,Northgate Shop Centre,83565
PTR-GDN-3902,477,2987802,1,Northgate Shop Centre,83565
PTR-GDN-3902,475,2987803,1,Northgate Shop Centre,83565
PTR-GDN-3902,477,2987804,1,Northgate Shop Centre,83565
TRA-TRA-3826,414,3028564,1,Boyup Brook,84476
TRA-TRA-3826,415,3028565,1,Bunbury Passenger,84477
TRA-TRA-2149,215,3028566,1,Pemberton,84478
TRA-TRA-2149,216,3028567,0,East Perth,84479
GWB-KAR-3712,475,3032448,1,Dampier,84531
GWB-KAR-3713,72,3032453,0,Frank Butler Centre,84533
GWB-KAR-3713,72,3032454,0,Point Samson,84534
GWB-KAR-3713,475,3032455,0,Point Samson,84535
PTR-GDN-3896,473,3143267,1,Drummond Cove,86322
TRA-TRA-145,343,3279601,1,East Perth,87835
TRA-TRA-145,344,3279602,1,Kalgoorlie,87836
TRA-TRA-145,345,3279603,1,East Perth,87837
TRA-TRA-145,346,3279604,1,Kalgoorlie,87838
TRA-TRA-145,347,3279605,1,East Perth,87839
TRA-TRA-145,349,3279607,1,East Perth,87841
TRA-TRA-145,351,3279609,1,East Perth,87843
TRA-TRA-2160,205,3467118,1,Pemberton,89901
TRA-TRA-2176,272,3534073,0,East Perth,90924
